skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

JavaScript,Intermediate,What is the difference between NodeList and HTMLCollection?,DOM,Collections,Types,A,NodeList: static/live nodes; HTMLCollection: live collection of elements.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/NodeList,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+hindi,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+kannada,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+tamil,https://youtube.com/results?search_query=javascript+nodelist+vs+htmlcollection+telugu
JavaScript,Intermediate,What is the difference between passive and active event listeners?,Events,Performance,Options,A,passive: true improves scroll performance; prevents preventDefault() call.,Events,https://developer.mozilla.org/en-US/docs/Web/API/EventTarget/addEventListener,https://youtube.com/results?search_query=javascript+passive+event+listeners,https://youtube.com/results?search_query=javascript+passive+event+listeners+hindi,https://youtube.com/results?search_query=javascript+passive+event+listeners+kannada,https://youtube.com/results?search_query=javascript+passive+event+listeners+tamil,https://youtube.com/results?search_query=javascript+passive+event+listeners+telugu
JavaScript,Intermediate,What is requestAnimationFrame and its advantages over setTimeout?,Web API,Animation,Performance,A,requestAnimationFrame(): syncs with browser repaint; better performance for animations.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/window/requestAnimationFrame,https://youtube.com/results?search_query=javascript+requestanimationframe,https://youtube.com/results?search_query=javascript+requestanimationframe+hindi,https://youtube.com/results?search_query=javascript+requestanimationframe+kannada,https://youtube.com/results?search_query=javascript+requestanimationframe+tamil,https://youtube.com/results?search_query=javascript+requestanimationframe+telugu
JavaScript,Intermediate,What is Intersection Observer API?,Web API,Performance,Visibility,A,Intersection Observer detects element visibility in viewport; efficient scroll detection.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Intersection_Observer_API,https://youtube.com/results?search_query=javascript+intersection+observer,https://youtube.com/results?search_query=javascript+intersection+observer+hindi,https://youtube.com/results?search_query=javascript+intersection+observer+kannada,https://youtube.com/results?search_query=javascript+intersection+observer+tamil,https://youtube.com/results?search_query=javascript+intersection+observer+telugu
JavaScript,Intermediate,What is Mutation Observer API?,Web API,DOM,Changes,A,Mutation Observer watches for DOM changes; replaces deprecated Mutation Events.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/MutationObserver,https://youtube.com/results?search_query=javascript+mutation+observer,https://youtube.com/results?search_query=javascript+mutation+observer+hindi,https://youtube.com/results?search_query=javascript+mutation+observer+kannada,https://youtube.com/results?search_query=javascript+mutation+observer+tamil,https://youtube.com/results?search_query=javascript+mutation+observer+telugu
JavaScript,Intermediate,What is Resize Observer API?,Web API,Layout,Responsive,A,Resize Observer detects element size changes; efficient alternative to resize event.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Resize_Observer_API,https://youtube.com/results?search_query=javascript+resize+observer,https://youtube.com/results?search_query=javascript+resize+observer+hindi,https://youtube.com/results?search_query=javascript+resize+observer+kannada,https://youtube.com/results?search_query=javascript+resize+observer+tamil,https://youtube.com/results?search_query=javascript+resize+observer+telugu
JavaScript,Intermediate,What is the difference between clientHeight, offsetHeight, and scrollHeight?,DOM,Dimensions,Measurements,A,clientHeight: visible content + padding; offsetHeight: content + padding + border + scrollbar; scrollHeight: entire content.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/clientHeight,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+hindi,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+kannada,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+tamil,https://youtube.com/results?search_query=javascript+clientheight+offsetheight+scrollheight+telugu
JavaScript,Intermediate,What is the difference between clientX/Y, pageX/Y, and screenX/Y?,Events,Mouse,Coordinates,A,clientX/Y: relative to viewport; pageX/Y: relative to document; screenX/Y: relative to screen.,Events,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent/clientX,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+hindi,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+kannada,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+tamil,https://youtube.com/results?search_query=javascript+mouse+coordinates+client+page+screen+telugu
JavaScript,Intermediate,What is the difference between getBoundingClientRect and offsetLeft/Top?,DOM,Position,Geometry,A,getBoundingClientRect(): returns rectangle relative to viewport; offsetLeft/Top: relative to offsetParent.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/getBoundingClientRect,https://youtube.com/results?search_query=javascript+getboundingclientrect+vs+offsetleft,https://youtube.com/results?search_query=javascript+getboundingclientrect+vs+offsetleft+hindi,https://youtube.com/results?search_query=javascript+getboundingclientrect+vs+offsetleft+kannada,https://youtube.com/results?search_query=javascript+getboundingclientrect+vs+offsetleft+tamil,https://youtube.com/results?search_query=javascript+getboundingclientrect+vs+offsetleft+telugu
JavaScript,Intermediate,What is the difference between window.scrollY and document.documentElement.scrollTop?,DOM,Scrolling,Position,A,Both return vertical scroll position; window.scrollY preferred.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Window/scrollY,https://youtube.com/results?search_query=javascript+window+scrolly+vs+scrolltop,https://youtube.com/results?search_query=javascript+window+scrolly+vs+scrolltop+hindi,https://youtube.com/results?search_query=javascript+window+scrolly+vs+scrolltop+kannada,https://youtube.com/results?search_query=javascript+window+scrolly+vs+scrolltop+tamil,https://youtube.com/results?search_query=javascript+window+scrolly+vs+scrolltop+telugu
JavaScript,Intermediate,What is the difference between Element and Node in DOM?,DOM,Types,Hierarchy,A,Node: base type; Element: Node with tag name; all Elements are Nodes, not vice versa.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node,https://youtube.com/results?search_query=javascript+element+vs+node,https://youtube.com/results?search_query=javascript+element+vs+node+hindi,https://youtube.com/results?search_query=javascript+element+vs+node+kannada,https://youtube.com/results?search_query=javascript+element+vs+node+tamil,https://youtube.com/results?search_query=javascript+element+vs+node+telugu
JavaScript,Intermediate,What is the difference between parentNode and parentElement?,DOM,Traversal,Parent,A,parentNode: returns any Node; parentElement: returns Element or null.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/parentNode,https://youtube.com/results?search_query=javascript+parentnode+vs+parentelement,https://youtube.com/results?search_query=javascript+parentnode+vs+parentelement+hindi,https://youtube.com/results?search_query=javascript+parentnode+vs+parentelement+kannada,https://youtube.com/results?search_query=javascript+parentnode+vs+parentelement+tamil,https://youtube.com/results?search_query=javascript+parentnode+vs+parentelement+telugu
JavaScript,Intermediate,What is the difference between children and childNodes?,DOM,Traversal,Children,A,children: HTMLCollection of child Elements; childNodes: NodeList of all child Nodes.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/ParentNode/children,https://youtube.com/results?search_query=javascript+children+vs+childnodes,https://youtube.com/results?search_query=javascript+children+vs+childnodes+hindi,https://youtube.com/results?search_query=javascript+children+vs+childnodes+kannada,https://youtube.com/results?search_query=javascript+children+vs+childnodes+tamil,https://youtube.com/results?search_query=javascript+children+vs+childnodes+telugu
JavaScript,Intermediate,What is the difference between nextSibling and nextElementSibling?,DOM,Traversal,Siblings,A,nextSibling: any Node; nextElementSibling: Element or null.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/nextSibling,https://youtube.com/results?search_query=javascript+nextsibling+vs+nextelementsibling,https://youtube.com/results?search_query=javascript+nextsibling+vs+nextelementsibling+hindi,https://youtube.com/results?search_query=javascript+nextsibling+vs+nextelementsibling+kannada,https://youtube.com/results?search_query=javascript+nextsibling+vs+nextelementsibling+tamil,https://youtube.com/results?search_query=javascript+nextsibling+vs+nextelementsibling+telugu
JavaScript,Intermediate,What is the difference between cloneNode and importNode?,DOM,Copying,Methods,A,cloneNode(): copies node from same document; importNode(): copies node from different document.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/cloneNode,https://youtube.com/results?search_query=javascript+clonenode+vs+importnode,https://youtube.com/results?search_query=javascript+clonenode+vs+importnode+hindi,https://youtube.com/results?search_query=javascript+clonenode+vs+importnode+kannada,https://youtube.com/results?search_query=javascript+clonenode+vs+importnode+tamil,https://youtube.com/results?search_query=javascript+clonenode+vs+importnode+telugu
JavaScript,Intermediate,What is the difference between createElement and createDocumentFragment?,DOM,Creation,Performance,A,createElement(): single element; createDocumentFragment(): lightweight container for batch DOM operations.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Document/createDocumentFragment,https://youtube.com/results?search_query=javascript+createelement+vs+createdocumentfragment,https://youtube.com/results?search_query=javascript+createelement+vs+createdocumentfragment+hindi,https://youtube.com/results?search_query=javascript+createelement+vs+createdocumentfragment+kannada,https://youtube.com/results?search_query=javascript+createelement+vs+createdocumentfragment+tamil,https://youtube.com/results?search_query=javascript+createelement+vs+createdocumentfragment+telugu
JavaScript,Intermediate,What is the difference between insertBefore and after/before methods?,DOM,Insertion,Methods,A,insertBefore(): inserts node before reference; after()/before(): newer methods, more intuitive.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/insertBefore,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+hindi,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+kannada,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+tamil,https://youtube.com/results?search_query=javascript+insertbefore+vs+after+before+telugu
JavaScript,Intermediate,What is the difference between replaceChild and replaceWith?,DOM,Replacement,Methods,A,replaceChild(): old method; replaceWith(): newer, simpler method.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/ChildNode/replaceWith,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+hindi,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+kannada,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+tamil,https://youtube.com/results?search_query=javascript+replacechild+vs+replacewith+telugu
JavaScript,Intermediate,What is the difference between removeChild and remove?,DOM,Removal,Methods,A,removeChild(): requires parent; remove(): called on element itself.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/ChildNode/remove,https://youtube.com/results?search_query=javascript+removechild+vs+remove,https://youtube.com/results?search_query=javascript+removechild+vs+remove+hindi,https://youtube.com/results?search_query=javascript+removechild+vs+remove+kannada,https://youtube.com/results?search_query=javascript+removechild+vs+remove+tamil,https://youtube.com/results?search_query=javascript+removechild+vs+remove+telugu
JavaScript,Intermediate,What is the difference between contains and compareDocumentPosition?,DOM,Comparison,Methods,A,contains(): checks if node contains another; compareDocumentPosition(): detailed position comparison.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Node/contains,https://youtube.com/results?search_query=javascript+contains+vs+comparedocumentposition,https://youtube.com/results?search_query=javascript+contains+vs+comparedocumentposition+hindi,https://youtube.com/results?search_query=javascript+contains+vs+comparedocumentposition+kannada,https://youtube.com/results?search_query=javascript+contains+vs+comparedocumentposition+tamil,https://youtube.com/results?search_query=javascript+contains+vs+comparedocumentposition+telugu
JavaScript,Intermediate,What is the difference between matches and closest?,DOM,Selection,Methods,A,matches(): checks if element matches selector; closest(): finds closest ancestor matching selector.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/matches,https://youtube.com/results?search_query=javascript+matches+vs+closest,https://youtube.com/results?search_query=javascript+matches+vs+closest+hindi,https://youtube.com/results?search_query=javascript+matches+vs+closest+kannada,https://youtube.com/results?search_query=javascript+matches+vs+closest+tamil,https://youtube.com/results?search_query=javascript+matches+vs+closest+telugu
JavaScript,Intermediate,What is the difference between getComputedStyle and style property?,DOM,Styles,Access,A,getComputedStyle(): returns final computed values; style: inline styles only.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Window/getComputedStyle,https://youtube.com/results?search_query=javascript+getcomputedstyle+vs+style,https://youtube.com/results?search_query=javascript+getcomputedstyle+vs+style+hindi,https://youtube.com/results?search_query=javascript+getcomputedstyle+vs+style+kannada,https://youtube.com/results?search_query=javascript+getcomputedstyle+vs+style+tamil,https://youtube.com/results?search_query=javascript+getcomputedstyle+vs+style+telugu
JavaScript,Intermediate,What is the difference between clientWidth and offsetWidth for hidden elements?,DOM,Dimensions,Visibility,A,clientWidth/offsetWidth return 0 for hidden elements (display: none); getBoundingClientRect() also returns 0.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/clientWidth,https://youtube.com/results?search_query=javascript+hidden+elements+dimensions,https://youtube.com/results?search_query=javascript+hidden+elements+dimensions+hindi,https://youtube.com/results?search_query=javascript+hidden+elements+dimensions+kannada,https://youtube.com/results?search_query=javascript+hidden+elements+dimensions+tamil,https://youtube.com/results?search_query=javascript+hidden+elements+dimensions+telugu
JavaScript,Intermediate,What is the difference between window.getSelection and document.getSelection?,DOM,Selection,Text,A,Both same; document.getSelection() is alias for window.getSelection().,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Window/getSelection,https://youtube.com/results?search_query=javascript+getselection+window+vs+document,https://youtube.com/results?search_query=javascript+getselection+window+vs+document+hindi,https://youtube.com/results?search_query=javascript+getselection+window+vs+document+kannada,https://youtube.com/results?search_query=javascript+getselection+window+vs+document+tamil,https://youtube.com/results?search_query=javascript+getselection+window+vs+document+telugu
JavaScript,Intermediate,What is the difference between Range and Selection objects?,DOM,Selection,Ranges,A,Range: represents fragment of document; Selection: represents user's text selection.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Range,https://youtube.com/results?search_query=javascript+range+vs+selection,https://youtube.com/results?search_query=javascript+range+vs+selection+hindi,https://youtube.com/results?search_query=javascript+range+vs+selection+kannada,https://youtube.com/results?search_query=javascript+range+vs+selection+tamil,https://youtube.com/results?search_query=javascript+range+vs+selection+telugu
JavaScript,Intermediate,What is the difference between createRange and createTextRange?,DOM,Range,Creation,A,createRange(): standard method; createTextRange(): Internet Explorer specific (deprecated).,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Document/createRange,https://youtube.com/results?search_query=javascript+createrange+vs+createtextrange,https://youtube.com/results?search_query=javascript+createrange+vs+createtextrange+hindi,https://youtube.com/results?search_query=javascript+createrange+vs+createtextrange+kannada,https://youtube.com/results?search_query=javascript+createrange+vs+createtextrange+tamil,https://youtube.com/results?search_query=javascript+createrange+vs+createtextrange+telugu
JavaScript,Intermediate,What is the difference between innerHTML and outerHTML?,DOM,Content,Properties,A,innerHTML: element's content; outerHTML: element with its content.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/outerHTML,https://youtube.com/results?search_query=javascript+innerhtml+vs+outerhtml,https://youtube.com/results?search_query=javascript+innerhtml+vs+outerhtml+hindi,https://youtube.com/results?search_query=javascript+innerhtml+vs+outerhtml+kannada,https://youtube.com/results?search_query=javascript+innerhtml+vs+outerhtml+tamil,https://youtube.com/results?search_query=javascript+innerhtml+vs+outerhtml+telugu
JavaScript,Intermediate,What is the difference between insertAdjacentHTML and innerHTML?,DOM,Insertion,HTML,A,insertAdjacentHTML(): inserts at specific position; innerHTML: replaces content.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Element/insertAdjacentHTML,https://youtube.com/results?search_query=javascript+insertadjacenthtml+vs+innerhtml,https://youtube.com/results?search_query=javascript+insertadjacenthtml+vs+innerhtml+hindi,https://youtube.com/results?search_query=javascript+insertadjacenthtml+vs+innerhtml+kannada,https://youtube.com/results?search_query=javascript+insertadjacenthtml+vs+innerhtml+tamil,https://youtube.com/results?search_query=javascript+insertadjacenthtml+vs+innerhtml+telugu
JavaScript,Intermediate,What is the difference between document.write and innerHTML?,DOM,Writing,Methods,A,document.write(): writes to document stream (bad practice); innerHTML: sets element content.,DOM Manipulation,https://developer.mozilla.org/en-US/docs/Web/API/Document/write,https://youtube.com/results?search_query=javascript+document+write+vs+innerhtml,https://youtube.com/results?search_query=javascript+document+write+vs+innerhtml+hindi,https://youtube.com/results?search_query=javascript+document+write+vs+innerhtml+kannada,https://youtube.com/results?search_query=javascript+document+write+vs+innerhtml+tamil,https://youtube.com/results?search_query=javascript+document+write+vs+innerhtml+telugu
JavaScript,Intermediate,What is the difference between document.domain and window.location.hostname?,Web API,URL,Domain,A,document.domain: domain of current document; window.location.hostname: hostname from URL.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Document/domain,https://youtube.com/results?search_query=javascript+document+domain+vs+location+hostname,https://youtube.com/results?search_query=javascript+document+domain+vs+location+hostname+hindi,https://youtube.com/results?search_query=javascript+document+domain+vs+location+hostname+kannada,https://youtube.com/results?search_query=javascript+document+domain+vs+location+hostname+tamil,https://youtube.com/results?search_query=javascript+document+domain+vs+location+hostname+telugu
JavaScript,Intermediate,What is the difference between window.location.assign and window.location.replace?,Web API,Navigation,History,A,assign(): adds to history; replace(): replaces current entry in history.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Location/assign,https://youtube.com/results?search_query=javascript+location+assign+vs+replace,https://youtube.com/results?search_query=javascript+location+assign+vs+replace+hindi,https://youtube.com/results?search_query=javascript+location+assign+vs+replace+kannada,https://youtube.com/results?search_query=javascript+location+assign+vs+replace+tamil,https://youtube.com/results?search_query=javascript+location+assign+vs+replace+telugu
JavaScript,Intermediate,What is the difference between window.history.pushState and window.history.replaceState?,Web API,History,SPA,A,pushState(): adds new state to history; replaceState(): modifies current history entry.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/History/pushState,https://youtube.com/results?search_query=javascript+history+pushstate+vs+replacestate,https://youtube.com/results?search_query=javascript+history+pushstate+vs+replacestate+hindi,https://youtube.com/results?search_query=javascript+history+pushstate+vs+replacestate+kannada,https://youtube.com/results?search_query=javascript+history+pushstate+vs+replacestate+tamil,https://youtube.com/results?search_query=javascript+history+pushstate+vs+replacestate+telugu
JavaScript,Intermediate,What is the difference between window.open and window.location?,Web API,Navigation,Windows,A,window.open(): opens new window/tab; window.location: navigates current window.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/open,https://youtube.com/results?search_query=javascript+window+open+vs+location,https://youtube.com/results?search_query=javascript+window+open+vs+location+hindi,https://youtube.com/results?search_query=javascript+window+open+vs+location+kannada,https://youtube.com/results?search_query=javascript+window+open+vs+location+tamil,https://youtube.com/results?search_query=javascript+window+open+vs+location+telugu
JavaScript,Intermediate,What is the difference between window.name and document.title?,Web API,Properties,Window,A,window.name: name of window; document.title: title of document.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/name,https://youtube.com/results?search_query=javascript+window+name+vs+document+title,https://youtube.com/results?search_query=javascript+window+name+vs+document+title+hindi,https://youtube.com/results?search_query=javascript+window+name+vs+document+title+kannada,https://youtube.com/results?search_query=javascript+window+name+vs+document+title+tamil,https://youtube.com/results?search_query=javascript+window+name+vs+document+title+telugu
JavaScript,Intermediate,What is the difference between window.innerHeight and document.documentElement.clientHeight?,Web API,Dimensions,Viewport,A,window.innerHeight: includes scrollbar; document.documentElement.clientHeight: excludes scrollbar.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Window/innerHeight,https://youtube.com/results?search_query=javascript+innerheight+vs+clientheight,https://youtube.com/results?search_query=javascript+innerheight+vs+clientheight+hindi,https://youtube.com/results?search_query=javascript+innerheight+vs+clientheight+kannada,https://youtube.com/results?search_query=javascript+innerheight+vs+clientheight+tamil,https://youtube.com/results?search_query=javascript+innerheight+vs+clientheight+telugu
JavaScript,Intermediate,What is the difference between window.performance.now and Date.now?,Web API,Performance,Timing,A,performance.now(): high-resolution, monotonic clock; Date.now(): system time, can be adjusted.,Web APIs,https://developer.mozilla.org/en-US/docs/Web/API/Performance/now,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+hindi,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+kannada,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+tamil,https://youtube.com/results?search_query=javascript+performance+now+vs+date+now+telugu
