Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
GCP,Advanced,What is the purpose of Cloud Composer and how does it manage Apache Airflow workflows?,Cloud Composer,Apache Airflow,Workflow orchestration,Managed service,A,Cloud Composer provides managed Airflow environment with automatic scaling, monitoring, and integration with GCP services.,Data Analytics,https://cloud.google.com/composer/docs/concepts/overview,https://youtube.com/results?search_query=gcp+cloud+composer+airflow,https://youtube.com/results?search_query=gcp+cloud+composer+airflow+hindi,https://youtube.com/results?search_query=gcp+cloud+composer+airflow+kannada,https://youtube.com/results?search_query=gcp+cloud+composer+airflow+tamil,https://youtube.com/results?search_query=gcp+cloud+composer+airflow+telugu
GCP,Advanced,How does Cloud SQL's point-in-time recovery differ from automated backups?,Cloud SQL,PITR,Backup recovery,Continuous backup,A,PITR enables recovery to any timestamp within retention period; automated backups provide scheduled full backups.,Databases,https://cloud.google.com/sql/docs/mysql/backup-recovery/restoring,https://youtube.com/results?search_query=gcp+cloud+sql+pitr+vs+backups,https://youtube.com/results?search_query=gcp+cloud+sql+pitr+vs+backups+hindi,https://youtube.com/results?search_query=gcp+cloud+sql+pitr+vs+backups+kannada,https://youtube.com/results?search_query=gcp+cloud+sql+pitr+vs+backups+tamil,https://youtube.com/results?search_query=gcp+cloud+sql+pitr+vs+backups+telugu
GCP,Advanced,What is the difference between Cloud Interconnect and Cloud VPN for hybrid connectivity?,Cloud Interconnect,Cloud VPN,Hybrid connectivity,Dedicated links,A,Cloud Interconnect provides dedicated low-latency connections; Cloud VPN uses IPsec over internet for site-to-site VPN.,Networking,https://cloud.google.com/network-connectivity/docs/interconnect/concepts/overview,https://youtube.com/results?search_query=gcp+interconnect+vs+vpn,https://youtube.com/results?search_query=gcp+interconnect+vs+vpn+hindi,https://youtube.com/results?search_query=gcp+interconnect+vs+vpn+kannada,https://youtube.com/results?search_query=gcp+interconnect+vs+vpn+tamil,https://youtube.com/results?search_query=gcp+interconnect+vs+vpn+telugu
GCP,Advanced,How does Cloud Dataproc's autoscaling differ from traditional Hadoop cluster management?,Dataproc,Autoscaling,Hadoop,Cluster management,A,Dataproc automatically adds/removes worker nodes based on workload, unlike static clusters requiring manual scaling.,Data Analytics,https://cloud.google.com/dataproc/docs/concepts/configuring-clusters/autoscaling,https://youtube.com/results?search_query=gcp+dataproc+autoscaling+hadoop,https://youtube.com/results?search_query=gcp+dataproc+autoscaling+hadoop+hindi,https://youtube.com/results?search_query=gcp+dataproc+autoscaling+hadoop+kannada,https://youtube.com/results?search_query=gcp+dataproc+autoscaling+hadoop+tamil,https://youtube.com/results?search_query=gcp+dataproc+autoscaling+hadoop+telugu
GCP,Advanced,What is the purpose of Cloud Key Management Service (KMS) and how does it manage encryption keys?,Cloud KMS,Encryption keys,Key rotation,HSM,A,Cloud KMS provides centralized key management with automatic rotation, HSM-backed keys, and audit logging for compliance.,Security,https://cloud.google.com/kms/docs/key-management-service,https://youtube.com/results?search_query=gcp+kms+encryption+key+management,https://youtube.com/results?search_query=gcp+kms+encryption+key+management+hindi,https://youtube.com/results?search_query=gcp+kms+encryption+key+management+kannada,https://youtube.com/results?search_query=gcp+kms+encryption+key+management+tamil,https://youtube.com/results?search_query=gcp+kms+encryption+key+management+telugu
GCP,Advanced,How does Cloud Tasks differ from Cloud Pub/Sub for task queue management?,Cloud Tasks,Task queues,Pull queues,Push queues,A,Cloud Tasks is for HTTP task execution with rate limiting and retry logic; Pub/Sub is for publish-subscribe messaging.,Compute,https://cloud.google.com/tasks/docs/comp-tasks-pubsub,https://youtube.com/results?search_query=gcp+cloud+tasks+vs+pubsub,https://youtube.com/results?search_query=gcp+cloud+tasks+vs+pubsub+hindi,https://youtube.com/results?search_query=gcp+cloud+tasks+vs+pubsub+kannada,https://youtube.com/results?search_query=gcp+cloud+tasks+vs+pubsub+tamil,https://youtube.com/results?search_query=gcp+cloud+tasks+vs+pubsub+telugu
GCP,Advanced,What is the difference between Cloud Run and Cloud Functions for serverless computing?,Cloud Run,Cloud Functions,Serverless,Containers vs functions,A,Cloud Run runs containers with HTTP serving; Cloud Functions runs event-driven functions with simplified deployment.,Compute,https://cloud.google.com/blog/products/serverless/cloud-run-vs-cloud-functions,https://youtube.com/results?search_query=gcp+cloud+run+vs+functions,https://youtube.com/results?search_query=gcp+cloud+run+vs+functions+hindi,https://youtube.com/results?search_query=gcp+cloud+run+vs+functions+kannada,https://youtube.com/results?search_query=gcp+cloud+run+vs+functions+tamil,https://youtube.com/results?search_query=gcp+cloud+run+vs+functions+telugu
GCP,Advanced,How does Cloud Memorystore for Redis cluster mode differ from standard mode?,Memorystore,Redis cluster,Sharding,Horizontal scaling,A,Cluster mode provides automatic sharding and horizontal scaling; standard mode is single instance with read replicas.,Databases,https://cloud.google.com/memorystore/docs/redis/redis-clusters,https://youtube.com/results?search_query=gcp+memorystore+redis+cluster+mode,https://youtube.com/results?search_query=gcp+memorystore+redis+cluster+mode+hindi,https://youtube.com/results?search_query=gcp+memorystore+redis+cluster+mode+kannada,https://youtube.com/results?search_query=gcp+memorystore+redis+cluster+mode+tamil,https://youtube.com/results?search_query=gcp+memorystore+redis+cluster+mode+telugu
GCP,Advanced,What is the purpose of Cloud Audit Logs and how do they support compliance requirements?,Audit Logs,Compliance,Activity tracking,Forensics,A,Cloud Audit Logs record admin activities and data accesses across GCP services for security analysis and compliance.,Security,https://cloud.google.com/logging/docs/audit,https://youtube.com/results?search_query=gcp+audit+logs+compliance,https://youtube.com/results?search_query=gcp+audit+logs+compliance+hindi,https://youtube.com/results?search_query=gcp+audit+logs+compliance+kannada,https://youtube.com/results?search_query=gcp+audit+logs+compliance+tamil,https://youtube.com/results?search_query=gcp+audit+logs+compliance+telugu
GCP,Advanced,How does Cloud Datastore's strong consistency differ from eventual consistency in Firestore?,Datastore,Firestore,Consistency models,ACID transactions,A,Datastore offers strong consistency for ancestor queries; Firestore provides strong consistency for all queries in native mode.,Databases,https://cloud.google.com/datastore/docs/concepts/structuring_for_strong_consistency,https://youtube.com/results?search_query=gcp+datastore+firestore+consistency,https://youtube.com/results?search_query=gcp+datastore+firestore+consistency+hindi,https://youtube.com/results?search_query=gcp+datastore+firestore+consistency+kannada,https://youtube.com/results?search_query=gcp+datastore+firestore+consistency+tamil,https://youtube.com/results?search_query=gcp+datastore+firestore+consistency+telugu
GCP,Advanced,What is the difference between Cloud Load Balancing's internal vs external load balancers?,Load Balancing,Internal LB,External LB,Network tiers,A,Internal LBs route traffic within VPC; external LBs handle internet traffic with global or regional IP addresses.,Networking,https://cloud.google.com/load-balancing/docs/internal,https://youtube.com/results?search_query=gcp+internal+vs+external+load+balancer,https://youtube.com/results?search_query=gcp+internal+vs+external+load+balancer+hindi,https://youtube.com/results?search_query=gcp+internal+vs+external+load+balancer+kannada,https://youtube.com/results?search_query=gcp+internal+vs+external+load+balancer+tamil,https://youtube.com/results?search_query=gcp+internal+vs+external+load+balancer+telugu
GCP,Advanced,How does Cloud TPU's architecture differ from traditional GPU for machine learning workloads?,Cloud TPU,Matrix multiplication,ML accelerators,Tensor processing,A,TPUs are custom ASICs optimized for matrix operations in neural networks; GPUs are general-purpose parallel processors.,AI/ML,https://cloud.google.com/tpu/docs/tpus,https://youtube.com/results?search_query=gcp+tpu+vs+gpu+architecture,https://youtube.com/results?search_query=gcp+tpu+vs+gpu+architecture+hindi,https://youtube.com/results?search_query=gcp+tpu+vs+gpu+architecture+kannada,https://youtube.com/results?search_query=gcp+tpu+vs+gpu+architecture+tamil,https://youtube.com/results?search_query=gcp+tpu+vs+gpu+architecture+telugu
GCP,Advanced,What is the purpose of Cloud Data Catalog and how does it enable data discovery?,Data Catalog,Metadata management,Data discovery,Tagging,A,Data Catalog provides centralized metadata management with search and discovery across GCP data assets.,Data Analytics,https://cloud.google.com/data-catalog/docs/concepts/overview,https://youtube.com/results?search_query=gcp+data+catalog+discovery,https://youtube.com/results?search_query=gcp+data+catalog+discovery+hindi,https://youtube.com/results?search_query=gcp+data+catalog+discovery+kannada,https://youtube.com/results?search_query=gcp+data+catalog+discovery+tamil,https://youtube.com/results?search_query=gcp+data+catalog+discovery+telugu
GCP,Advanced,How does Cloud Storage's object versioning differ from object lifecycle management?,Cloud Storage,Object versioning,Lifecycle management,Data retention,A,Versioning keeps multiple object versions; lifecycle management automates transitions between storage classes/deletion.,Storage,https://cloud.google.com/storage/docs/object-versioning,https://youtube.com/results?search_query=gcp+storage+versioning+vs+lifecycle,https://youtube.com/results?search_query=gcp+storage+versioning+vs+lifecycle+hindi,https://youtube.com/results?search_query=gcp+storage+versioning+vs+lifecycle+kannada,https://youtube.com/results?search_query=gcp+storage+versioning+vs+lifecycle+tamil,https://youtube.com/results?search_query=gcp+storage+versioning+vs+lifecycle+telugu
GCP,Advanced,What is the difference between Cloud Identity and Cloud IAM for access management?,Cloud Identity,IAM,Directory service,User management,A,Cloud Identity is managed directory service for users/groups; IAM controls resource access for those identities.,IAM,https://cloud.google.com/identity/docs/overview,https://youtube.com/results?search_query=gcp+cloud+identity+vs+iam,https://youtube.com/results?search_query=gcp+cloud+identity+vs+iam+hindi,https://youtube.com/results?search_query=gcp+cloud+identity+vs+iam+kannada,https://youtube.com/results?search_query=gcp+cloud+identity+vs+iam+tamil,https://youtube.com/results?search_query=gcp+cloud+identity+vs+iam+telugu
GCP,Advanced,How does Cloud Endpoints differ from Apigee for API management?,Cloud Endpoints,Apigee,API management,API gateway,A,Endpoints is lightweight API gateway for Cloud Run/GKE; Apigee is full-featured API management platform for enterprises.,Networking,https://cloud.google.com/endpoints/docs/openapi/about-cloud-endpoints,https://youtube.com/results?search_query=gcp+endpoints+vs+apigee,https://youtube.com/results?search_query=gcp+endpoints+vs+apigee+hindi,https://youtube.com/results?search_query=gcp+endpoints+vs+apigee+kannada,https://youtube.com/results?search_query=gcp+endpoints+vs+apigee+tamil,https://youtube.com/results?search_query=gcp+endpoints+vs+apigee+telugu
GCP,Advanced,What is the purpose of Cloud Data Fusion and how does it simplify ETL pipeline development?,Data Fusion,ETL pipelines,Visual development,Data integration,A,Data Fusion provides visual ETL development with 150+ pre-built connectors and managed execution on Dataproc.,Data Analytics,https://cloud.google.com/data-fusion/docs/concepts/overview,https://youtube.com/results?search_query=gcp+data+fusion+etl,https://youtube.com/results?search_query=gcp+data+fusion+etl+hindi,https://youtube.com/results?search_query=gcp+data+fusion+etl+kannada,https://youtube.com/results?search_query=gcp+data+fusion+etl+tamil,https://youtube.com/results?search_query=gcp+data+fusion+etl+telugu
GCP,Advanced,How does Cloud Run Jobs differ from Cloud Run Services for batch processing?,Cloud Run Jobs,Batch processing,One-off tasks,Service execution,A,Cloud Run Jobs execute containers to completion for batch jobs; Services handle HTTP requests and scale to zero.,Compute,https://cloud.google.com/run/docs/create-jobs,https://youtube.com/results?search_query=gcp+cloud+run+jobs+vs+services,https://youtube.com/results?search_query=gcp+cloud+run+jobs+vs+services+hindi,https://youtube.com/results?search_query=gcp+cloud+run+jobs+vs+services+kannada,https://youtube.com/results?search_query=gcp+cloud+run+jobs+vs+services+tamil,https://youtube.com/results?search_query=gcp+cloud+run+jobs+vs+services+telugu
GCP,Advanced,What is the difference between Cloud Router's custom route advertisements and learned routes?,Cloud Router,BGP routes,Custom advertisements,Route learning,A,Custom routes are advertised to on-prem; learned routes are received from on-prem for dynamic routing updates.,Networking,https://cloud.google.com/router/docs/how-to/advertising-custom-routes,https://youtube.com/results?search_query=gcp+cloud+router+custom+routes,https://youtube.com/results?search_query=gcp+cloud+router+custom+routes+hindi,https://youtube.com/results?search_query=gcp+cloud+router+custom+routes+kannada,https://youtube.com/results?search_query=gcp+cloud+router+custom+routes+tamil,https://youtube.com/results?search_query=gcp+cloud+router+custom+routes+telugu
GCP,Advanced,How does Cloud Bigtable's replication differ from traditional database replication?,Bigtable,Replication clusters,Multi-cluster routing,Low latency,A,Bigtable uses replication clusters with application-level routing for low-latency reads and high availability.,Databases,https://cloud.google.com/bigtable/docs/replication-overview,https://youtube.com/results?search_query=gcp+bigtable+replication+architecture,https://youtube.com/results?search_query=gcp+bigtable+replication+architecture+hindi,https://youtube.com/results?search_query=gcp+bigtable+replication+architecture+kannada,https://youtube.com/results?search_query=gcp+bigtable+replication+architecture+tamil,https://youtube.com/results?search_query=gcp+bigtable+replication+architecture+telugu
GCP,Advanced,What is the purpose of Cloud Talent Solution and how does it use AI for job search?,Talent Solution,AI matching,Job search,Semantic search,A,Talent Solution uses AI for semantic job search, skill matching, and candidate ranking beyond keyword matching.,AI/ML,https://cloud.google.com/solutions/talent-solution,https://youtube.com/results?search_query=gcp+talent+solution+ai,https://youtube.com/results?search_query=gcp+talent+solution+ai+hindi,https://youtube.com/results?search_query=gcp+talent+solution+ai+kannada,https://youtube.com/results?search_query=gcp+talent+solution+ai+tamil,https://youtube.com/results?search_query=gcp+talent+solution+ai+telugu
