Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Docker,Intermediate,What is the difference between CMD and ENTRYPOINT in Dockerfile?,Dockerfile,Commands,Entrypoints,Execution,A,CMD sets default commands; ENTRYPOINT configures container to run as executable,Image Building,https://docs.docker.com/engine/reference/builder/#understand-how-cmd-and-entrypoint-interact,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+hindi,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+kannada,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+tamil,https://youtube.com/results?search_query=docker+cmd+vs+entrypoint+telugu
Docker,Intermediate,How do you clean up unused Docker resources?,Resource management,Disk space,Cleanup,Maintenance,A,Use docker system prune to remove unused containers, images, networks, and volumes,Maintenance,https://docs.docker.com/engine/reference/commandline/system_prune/,https://youtube.com/results?search_query=docker+cleanup+unused+resources,https://youtube.com/results?search_query=docker+cleanup+unused+resources+hindi,https://youtube.com/results?search_query=docker+cleanup+unused+resources+kannada,https://youtube.com/results?search_query=docker+cleanup+unused+resources+tamil,https://youtube.com/results?search_query=docker+cleanup+unused+resources+telugu
Docker,Intermediate,What are Docker layers and how do they affect build caching?,Image layers,Caching,Build optimization,Performance,A,Each instruction creates a layer; unchanged layers are cached for faster builds,Image Building,https://docs.docker.com/develop/develop-images/dockerfile_best-practices/#leverage-build-cache,https://youtube.com/results?search_query=docker+layers+caching,https://youtube.com/results?search_query=docker+layers+caching+hindi,https://youtube.com/results?search_query=docker+layers+caching+kannada,https://youtube.com/results?search_query=docker+layers+caching+tamil,https://youtube.com/results?search_query=docker+layers+caching+telugu
Docker,Intermediate,How do you run Docker containers in detached mode?,Container execution,Background processes,Daemon mode,A,Use -d flag with docker run to run container in background,Container Management,https://docs.docker.com/engine/reference/commandline/run/#detached--d,https://youtube.com/results?search_query=docker+detached+mode,https://youtube.com/results?search_query=docker+detached+mode+hindi,https://youtube.com/results?search_query=docker+detached+mode+kannada,https://youtube.com/results?search_query=docker+detached+mode+tamil,https://youtube.com/results?search_query=docker+detached+mode+telugu
Docker,Intermediate,What is Docker Hub and how is it used?,Registry,Image repository,CI/CD,Distribution,A,Cloud-based registry service for sharing and distributing Docker images,Registry,https://docs.docker.com/docker-hub/,https://youtube.com/results?search_query=docker+hub+tutorial,https://youtube.com/results?search_query=docker+hub+tutorial+hindi,https://youtube.com/results?search_query=docker+hub+tutorial+kannada,https://youtube.com/results?search_query=docker+hub+tutorial+tamil,https://youtube.com/results?search_query=docker+hub+tutorial+telugu
Docker,Intermediate,How do you build a Docker image with a specific tag?,Image building,Tagging,Versioning,Deployment,A,Use docker build -t name:tag . to build and tag an image,Image Management,https://docs.docker.com/engine/reference/commandline/build/#tag-an-image--t,https://youtube.com/results?search_query=docker+build+with+tag,https://youtube.com/results?search_query=docker+build+with+tag+hindi,https://youtube.com/results?search_query=docker+build+with+tag+kannada,https://youtube.com/results?search_query=docker+build+with+tag+tamil,https://youtube.com/results?search_query=docker+build+with+tag+telugu
Docker,Intermediate,What is the purpose of Dockerfile HEALTHCHECK instruction?,Monitoring,Health checks,Availability,Automation,A,Define commands to check container health for automatic restart/recovery,Monitoring,https://docs.docker.com/engine/reference/builder/#healthcheck,https://youtube.com/results?search_query=docker+healthcheck+instruction,https://youtube.com/results?search_query=docker+healthcheck+instruction+hindi,https://youtube.com/results?search_query=docker+healthcheck+instruction+kannada,https://youtube.com/results?search_query=docker+healthcheck+instruction+tamil,https://youtube.com/results?search_query=docker+healthcheck+instruction+telugu
Docker,Intermediate,How do you limit container resource usage (CPU, memory)?,Resource limits,Performance,Isolation,Security,A,Use --memory, --cpus flags with docker run to set resource constraints,Resource Management,https://docs.docker.com/config/containers/resource_constraints/,https://youtube.com/results?search_query=docker+resource+limits+cpu+memory,https://youtube.com/results?search_query=docker+resource+limits+cpu+memory+hindi,https://youtube.com/results?search_query=docker+resource+limits+cpu+memory+kannada,https://youtube.com/results?search_query=docker+resource+limits+cpu+memory+tamil,https://youtube.com/results?search_query=docker+resource+limits+cpu+memory+telugu
Docker,Intermediate,What are Docker secrets and how are they used?,Security,Secrets management,Configuration,Sensitive data,A,Secure way to store and manage sensitive data like passwords, API keys, secrets,Configuration,https://docs.docker.com/engine/swarm/secrets/,https://youtube.com/results?search_query=docker+secrets+management,https://youtube.com/results?search_query=docker+secrets+management+hindi,https://youtube.com/results?search_query=docker+secrets+management+kannada,https://youtube.com/results?search_query=docker+secrets+management+tamil,https://youtube.com/results?search_query=docker+secrets+management+telugu
Docker,Intermediate,How do you connect multiple containers using Docker Compose?,Networking,Service discovery,Multi-container,Communication,A,Define services in docker-compose.yml; containers can communicate using service names,Orchestration,https://docs.docker.com/compose/networking/,https://youtube.com/results?search_query=docker+compose+container+communication,https://youtube.com/results?search_query=docker+compose+container+communication+hindi,https://youtube.com/results?search_query=docker+compose+container+communication+kannada,https://youtube.com/results?search_query=docker+compose+container+communication+tamil,https://youtube.com/results?search_query=docker+compose+container+communication+telugu
Docker,Intermediate,What is Docker Swarm and how does it differ from Kubernetes?,Orchestration,Clustering,High availability,Scaling,A,Native Docker clustering/orchestration vs Kubernetes' more feature-rich orchestration platform,Orchestration,https://docs.docker.com/engine/swarm/,https://youtube.com/results?search_query=docker+swarm+vs+kubernetes,https://youtube.com/results?search_query=docker+swarm+vs+kubernetes+hindi,https://youtube.com/results?search_query=docker+swarm+vs+kubernetes+kannada,https://youtube.com/results?search_query=docker+swarm+vs+kubernetes+tamil,https://youtube.com/results?search_query=docker+swarm+vs+kubernetes+telugu
Docker,Intermediate,How do you use Docker with CI/CD pipelines?,CI/CD,Automation,Testing,Deployment,A,Build images in CI, run tests in containers, push to registry, deploy to production,CI/CD,https://docs.docker.com/ci-cd/,https://youtube.com/results?search_query=docker+ci+cd+pipeline,https://youtube.com/results?search_query=docker+ci+cd+pipeline+hindi,https://youtube.com/results?search_query=docker+ci+cd+pipeline+kannada,https://youtube.com/results?search_query=docker+ci+cd+pipeline+tamil,https://youtube.com/results?search_query=docker+ci+cd+pipeline+telugu
Docker,Intermediate,What are Docker build arguments (ARG) and how are they used?,Build arguments,Parameterization,Conditional builds,Dynamic configuration,A,Variables passed during build time to customize image building process,Image Building,https://docs.docker.com/engine/reference/builder/#arg,https://youtube.com/results?search_query=docker+build+arguments+arg,https://youtube.com/results?search_query=docker+build+arguments+arg+hindi,https://youtube.com/results?search_query=docker+build+arguments+arg+kannada,https://youtube.com/results?search_query=docker+build+arguments+arg+tamil,https://youtube.com/results?search_query=docker+build+arguments+arg+telugu
Docker,Intermediate,How do you debug a running Docker container?,Debugging,Troubleshooting,Inspection,Logs,A,Use docker exec to run commands inside container or docker logs for output,Debugging,https://docs.docker.com/config/containers/logs/,https://youtube.com/results?search_query=docker+container+debugging,https://youtube.com/results?search_query=docker+container+debugging+hindi,https://youtube.com/results?search_query=docker+container+debugging+kannada,https://youtube.com/results?search_query=docker+container+debugging+tamil,https://youtube.com/results?search_query=docker+container+debugging+telugu
Docker,Intermediate,What is the difference between docker stop and docker kill?,Container management,Signal handling,Graceful shutdown,Force stop,A,stop sends SIGTERM (graceful); kill sends SIGKILL (immediate force stop),Container Management,https://docs.docker.com/engine/reference/commandline/stop/,https://youtube.com/results?search_query=docker+stop+vs+kill,https://youtube.com/results?search_query=docker+stop+vs+kill+hindi,https://youtube.com/results?search_query=docker+stop+vs+kill+kannada,https://youtube.com/results?search_query=docker+stop+vs+kill+tamil,https://youtube.com/results?search_query=docker+stop+vs+kill+telugu
Docker,Intermediate,How do you copy files between host and container?,File transfer,Data exchange,Backup,Restore,A,Use docker cp command to copy files/directories between container and host,Data Management,https://docs.docker.com/engine/reference/commandline/cp/,https://youtube.com/results?search_query=docker+copy+files+host+container,https://youtube.com/results?search_query=docker+copy+files+host+container+hindi,https://youtube.com/results?search_query=docker+copy+files+host+container+kannada,https://youtube.com/results?search_query=docker+copy+files+host+container+tamil,https://youtube.com/results?search_query=docker+copy+files+host+container+telugu
Docker,Intermediate,What are Docker labels and how are they used?,Metadata,Tagging,Organization,Filtering,A,Key-value pairs for adding metadata to images/containers for organization and filtering,Image Management,https://docs.docker.com/config/labels-custom-metadata/,https://youtube.com/results?search_query=docker+labels+metadata,https://youtube.com/results?search_query=docker+labels+metadata+hindi,https://youtube.com/results?search_query=docker+labels+metadata+kannada,https://youtube.com/results?search_query=docker+labels+metadata+tamil,https://youtube.com/results?search_query=docker+labels+metadata+telugu
Docker,Intermediate,How do you create and use custom Docker networks?,Networking,Isolation,Security,Communication,A,Use docker network create and specify network in docker run with --network flag,Networking,https://docs.docker.com/engine/reference/commandline/network_create/,https://youtube.com/results?search_query=docker+custom+networks,https://youtube.com/results?search_query=docker+custom+networks+hindi,https://youtube.com/results?search_query=docker+custom+networks+kannada,https://youtube.com/results?search_query=docker+custom+networks+tamil,https://youtube.com/results?search_query=docker+custom+networks+telugu
Docker,Intermediate,What is Docker context and how is it used?,CLI management,Remote access,Swarm configuration,A,Manages connections to Docker daemons for remote management and switching between environments,CLI Tools,https://docs.docker.com/engine/context/working-with-contexts/,https://youtube.com/results?search_query=docker+context+explained,https://youtube.com/results?search_query=docker+context+explained+hindi,https://youtube.com/results?search_query=docker+context+explained+kannada,https://youtube.com/results?search_query=docker+context+explained+tamil,https://youtube.com/results?search_query=docker+context+explained+telugu
Docker,Intermediate,How do you use Docker with private registries?,Registry,Authentication,Security,Deployment,A,Use docker login to authenticate and push/pull from private registries,Registry,https://docs.docker.com/engine/reference/commandline/login/,https://youtube.com/results?search_query=docker+private+registry,https://youtube.com/results?search_query=docker+private+registry+hindi,https://youtube.com/results?search_query=docker+private+registry+kannada,https://youtube.com/results?search_query=docker+private+registry+tamil,https://youtube.com/results?search_query=docker+private+registry+telugu
Docker,Intermediate,What is the purpose of Docker build cache and how to invalidate it?,Caching,Build optimization,Performance,CI/CD,A,Speeds up builds by reusing layers; invalidate with --no-cache flag or changing layer content,Image Building,https://docs.docker.com/develop/develop-images/dockerfile_best-practices/#leverage-build-cache,https://youtube.com/results?search_query=docker+build+cache+invalidation,https://youtube.com/results?search_query=docker+build+cache+invalidation+hindi,https://youtube.com/results?search_query=docker+build+cache+invalidation+kannada,https://youtube.com/results?search_query=docker+build+cache+invalidation+tamil,https://youtube.com/results?search_query=docker+build+cache+invalidation+telugu
Docker,Intermediate,How do you manage container startup order in Docker Compose?,Orchestration,Dependencies,Startup sequence,Health checks,A,Use depends_on with condition options or wait-for scripts for proper startup sequencing,Orchestration,https://docs.docker.com/compose/startup-order/,https://youtube.com/results?search_query=docker+compose+startup+order,https://youtube.com/results?search_query=docker+compose+startup+order+hindi,https://youtube.com/results?search_query=docker+compose+startup+order+kannada,https://youtube.com/results?search_query=docker+compose+startup+order+tamil,https://youtube.com/results?search_query=docker+compose+startup+order+telugu
Docker,Intermediate,What are Docker configs and how do they differ from secrets?,Configuration management,Sensitive data,Swarm services,Security,A,Configs store non-sensitive configuration; secrets store sensitive data with encryption,Configuration,https://docs.docker.com/engine/swarm/configs/,https://youtube.com/results?search_query=docker+configs+vs+secrets,https://youtube.com/results?search_query=docker+configs+vs+secrets+hindi,https://youtube.com/results?search_query=docker+configs+vs+secrets+kannada,https://youtube.com/results?search_query=docker+configs+vs+secrets+tamil,https://youtube.com/results?search_query=docker+configs+vs+secrets+telugu
Docker,Intermediate,How do you monitor Docker container performance?,Monitoring,Metrics,Performance,Resource usage,A,Use docker stats command or integrate with monitoring tools like Prometheus, Grafana,Monitoring,https://docs.docker.com/config/containers/runmetrics/,https://youtube.com/results?search_query=docker+container+monitoring+performance,https://youtube.com/results?search_query=docker+container+monitoring+performance+hindi,https://youtube.com/results?search_query=docker+container+monitoring+performance+kannada,https://youtube.com/results?search_query=docker+container+monitoring+performance+tamil,https://youtube.com/results?search_query=docker+container+monitoring+performance+telugu
Docker,Intermediate,What is Docker content trust and why is it important?,Security,Image verification,Trust,Integrity,A,Verifies image authenticity and integrity using digital signatures for secure deployments,Security,https://docs.docker.com/engine/security/trust/,https://youtube.com/results?search_query=docker+content+trust,https://youtube.com/results?search_query=docker+content+trust+hindi,https://youtube.com/results?search_query=docker+content+trust+kannada,https://youtube.com/results?search_query=docker+content+trust+tamil,https://youtube.com/results?search_query=docker+content+trust+telugu
Docker,Intermediate,How do you update a running container without downtime?,Zero downtime,Updates,Rolling updates,Deployment,A,Use rolling updates with Docker Swarm or blue-green deployment patterns,Deployment,https://docs.docker.com/engine/swarm/swarm-tutorial/rolling-update/,https://youtube.com/results?search_query=docker+rolling+updates+zero+downtime,https://youtube.com/results?search_query=docker+rolling+updates+zero+downtime+hindi,https://youtube.com/results?search_query=docker+rolling+updates+zero+downtime+kannada,https://youtube.com/results?search_query=docker+rolling+updates+zero+downtime+tamil,https://youtube.com/results?search_query=docker+rolling+updates+zero+downtime+telugu
Docker,Intermediate,What is the difference between docker exec and docker attach?,Container interaction,Debugging,Command execution,Terminal access,A,exec runs new command in container; attach connects to running process's stdin/stdout/stderr,Container Management,https://docs.docker.com/engine/reference/commandline/exec/,https://youtube.com/results?search_query=docker+exec+vs+attach,https://youtube.com/results?search_query=docker+exec+vs+attach+hindi,https://youtube.com/results?search_query=docker+exec+vs+attach+kannada,https://youtube.com/results?search_query=docker+exec+vs+attach+tamil,https://youtube.com/results?search_query=docker+exec+vs+attach+telugu
Docker,Intermediate,How do you backup and restore Docker volumes?,Backup,Disaster recovery,Data persistence,Volumes,A,Use docker run with --volumes-from to backup volume data to tar archive,Data Management,https://docs.docker.com/storage/volumes/#backup-restore-or-migrate-data-volumes,https://youtube.com/results?search_query=docker+volume+backup+restore,https://youtube.com/results?search_query=docker+volume+backup+restore+hindi,https://youtube.com/results?search_query=docker+volume+backup+restore+kannada,https://youtube.com/results?search_query=docker+volume+backup+restore+tamil,https://youtube.com/results?search_query=docker+volume+backup+restore+telugu
Docker,Intermediate,What are Docker build kits and how do they improve builds?,Build optimization,Parallel builds,Caching,Performance,A,Next-generation build engine with improved performance, caching, and multi-platform support,Image Building,https://docs.docker.com/develop/develop-images/build_enhancements/,https://youtube.com/results?search_query=docker+buildkit+explained,https://youtube.com/results?search_query=docker+buildkit+explained+hindi,https://youtube.com/results?search_query=docker+buildkit+explained+kannada,https://youtube.com/results?search_query=docker+buildkit+explained+tamil,https://youtube.com/results?search_query=docker+buildkit+explained+telugu
Docker,Intermediate,How do you use Docker with database containers?,Databases,Persistence,Backup,Initialization,A,Use volumes for data persistence and environment variables for configuration,Database,https://docs.docker.com/samples/library/mysql/,https://youtube.com/results?search_query=docker+database+containers,https://youtube.com/results?search_query=docker+database+containers+hindi,https://youtube.com/results?search_query=docker+database+containers+kannada,https://youtube.com/results?search_query=docker+database+containers+tamil,https://youtube.com/results?search_query=docker+database+containers+telugu
Docker,Intermediate,What is Docker overlay network and when is it used?,Networking,Swarm,Multi-host,Cross-node communication,A,Network spanning multiple Docker hosts for Swarm services communication across nodes,Networking,https://docs.docker.com/network/overlay/,https://youtube.com/results?search_query=docker+overlay+network,https://youtube.com/results?search_query=docker+overlay+network+hindi,https://youtube.com/results?search_query=docker+overlay+network+kannada,https://youtube.com/results?search_query=docker+overlay+network+tamil,https://youtube.com/results?search_query=docker+overlay+network+telugu
Docker,Intermediate,How do you set container restart policies?,High availability,Recovery,Automation,Restart policies,A,Use --restart flag with docker run to define container restart behavior on failure,Container Management,https://docs.docker.com/engine/reference/commandline/run/#restart-policies---restart,https://youtube.com/results?search_query=docker+restart+policies,https://youtube.com/results?search_query=docker+restart+policies+hindi,https://youtube.com/results?search_query=docker+restart+policies+kannada,https://youtube.com/results?search_query=docker+restart+policies+tamil,https://youtube.com/results?search_query=docker+restart+policies+telugu
Docker,Intermediate,What is Docker image manifest and how is it used?,Multi-architecture,Image distribution,Manifests,Platform support,A,JSON file describing image layers and platforms for multi-arch image support,Image Management,https://docs.docker.com/engine/reference/commandline/manifest/,https://youtube.com/results?search_query=docker+image+manifest,https://youtube.com/results?search_query=docker+image+manifest+hindi,https://youtube.com/results?search_query=docker+image+manifest+kannada,https://youtube.com/results?search_query=docker+image+manifest+tamil,https://youtube.com/results?search_query=docker+image+manifest+telugu
Docker,Intermediate,How do you use Docker with environment files?,Configuration,Environment variables,Bulk configuration,Deployment,A,Use --env-file flag with docker run to load environment variables from file,Configuration,https://docs.docker.com/engine/reference/commandline/run/#set-environment-variables--e---env---env-file,https://youtube.com/results?search_query=docker+env+file+usage,https://youtube.com/results?search_query=docker+env+file+usage+hindi,https://youtube.com/results?search_query=docker+env+file+usage+kannada,https://youtube.com/results?search_query=docker+env+file+usage+tamil,https://youtube.com/results?search_query=docker+env+file+usage+telugu
Docker,Intermediate,What are Docker plugins and how are they extended?,Extensions,Third-party,Storage,Networking,A,Extend Docker functionality for networking, storage, logging through plugin architecture,Extensions,https://docs.docker.com/engine/extend/,https://youtube.com/results?search_query=docker+plugins+extensions,https://youtube.com/results?search_query=docker+plugins+extensions+hindi,https://youtube.com/results?search_query=docker+plugins+extensions+kannada,https://youtube.com/results?search_query=docker+plugins+extensions+tamil,https://youtube.com/results?search_query=docker+plugins+extensions+telugu
Docker,Intermediate,How do you use Docker Compose profiles?,Orchestration,Environment-specific,Service selection,Profile management,A,Define service profiles for different environments (dev, test, prod) in docker-compose.yml,Orchestration,https://docs.docker.com/compose/profiles/,https://youtube.com/results?search_query=docker+compose+profiles,https://youtube.com/results?search_query=docker+compose+profiles+hindi,https://youtube.com/results?search_query=docker+compose+profiles+kannada,https://youtube.com/results?search_query=docker+compose+profiles+tamil,https://youtube.com/results?search_query=docker+compose+profiles+telugu
Docker,Intermediate,What is Docker security scanning and why is it important?,Security,Vulnerability scanning,Compliance,Image security,A,Scans images for vulnerabilities and provides security reports for compliance,Security,https://docs.docker.com/engine/scan/,https://youtube.com/results?search_query=docker+security+scanning,https://youtube.com/results?search_query=docker+security+scanning+hindi,https://youtube.com/results?search_query=docker+security+scanning+kannada,https://youtube.com/results?search_query=docker+security+scanning+tamil,https://youtube.com/results?search_query=docker+security+scanning+telugu
Docker,Intermediate,How do you use Docker with Nginx reverse proxy?,Reverse proxy,Load balancing,Web server,Configuration,A,Run Nginx container with volume-mounted config files to proxy to other containers,Web Server,https://docs.docker.com/samples/library/nginx/,https://youtube.com/results?search_query=docker+nginx+reverse+proxy,https://youtube.com/results?search_query=docker+nginx+reverse+proxy+hindi,https://youtube.com/results?search_query=docker+nginx+reverse+proxy+kannada,https://youtube.com/results?search_query=docker+nginx+reverse+proxy+tamil,https://youtube.com/results?search_query=docker+nginx+reverse+proxy+telugu
Docker,Intermediate,What are Docker build stages in multi-stage builds?,Image optimization,Intermediate stages,Build separation,Artifact copying,A,Intermediate containers for building artifacts, with final stage copying only necessary files,Image Building,https://docs.docker.com/develop/develop-images/multistage-build/,https://youtube.com/results?search_query=docker+multi+stage+build+stages,https://youtube.com/results?search_query=docker+multi+stage+build+stages+hindi,https://youtube.com/results?search_query=docker+multi+stage+build+stages+kannada,https://youtube.com/results?search_query=docker+multi+stage+build+stages+tamil,https://youtube.com/results?search_query=docker+multi+stage+build+stages+telugu
Docker,Intermediate,How do you use Docker with Node.js applications?,Node.js,JavaScript,Application deployment,Development,A,Use Node.js base images, copy package files, install dependencies, and set startup command,Application Deployment,https://docs.docker.com/language/nodejs/,https://youtube.com/results?search_query=docker+nodejs+application,https://youtube.com/results?search_query=docker+nodejs+application+hindi,https://youtube.com/results?search_query=docker+nodejs+application+kannada,https://youtube.com/results?search_query=docker+nodejs+application+tamil,https://youtube.com/results?search_query=docker+nodejs+application+telugu
Docker,Intermediate,What is Docker Compose override files and how are they used?,Configuration,Environment overrides,Multiple environments,Customization,A,Additional YAML files (docker-compose.override.yml) to modify base configuration for different environments,Orchestration,https://docs.docker.com/compose/extends/,https://youtube.com/results?search_query=docker+compose+override+files,https://youtube.com/results?search_query=docker+compose+override+files+hindi,https://youtube.com/results?search_query=docker+compose+override+files+kannada,https://youtube.com/results?search_query=docker+compose+override+files+tamil,https://youtube.com/results?search_query=docker+compose+override+files+telugu
Docker,Intermediate,How do you use Docker with Python applications?,Python,Application deployment,Dependencies,Virtual environment,A,Use Python base images, install requirements.txt, and set Python entrypoint,Application Deployment,https://docs.docker.com/language/python/,https://youtube.com/results?search_query=docker+python+application,https://youtube.com/results?search_query=docker+python+application+hindi,https://youtube.com/results?search_query=docker+python+application+kannada,https://youtube.com/results?search_query=docker+python+application+tamil,https://youtube.com/results?search_query=docker+python+application+telugu
Docker,Intermediate,What is Docker buildx and how does it help with multi-arch builds?,Multi-architecture,Cross-platform,Build automation,Buildx,A,CLI plugin for enhanced build capabilities including multi-arch image building,Image Building,https://docs.docker.com/buildx/working-with-buildx/,https://youtube.com/results?search_query=docker+buildx+multi+arch,https://youtube.com/results?search_query=docker+buildx+multi+arch+hindi,https://youtube.com/results?search_query=docker+buildx+multi+arch+kannada,https://youtube.com/results?search_query=docker+buildx+multi+arch+tamil,https://youtube.com/results?search_query=docker+buildx+multi+arch+telugu
Docker,Intermediate,How do you use Docker with Java applications?,Java,JVM,Application deployment,Spring Boot,A,Use Java base images, copy JAR/WAR files, and set appropriate JVM options,Application Deployment,https://docs.docker.com/language/java/,https://youtube.com/results?search_query=docker+java+application,https://youtube.com/results?search_query=docker+java+application+hindi,https://youtube.com/results?search_query=docker+java+application+kannada,https://youtube.com/results?search_query=docker+java+application+tamil,https://youtube.com/results?search_query=docker+java+application+telugu
Docker,Intermediate,What is Docker container lifecycle and its states?,Container management,Lifecycle,States,Transitions,A,Created, running, paused, stopped, removed - states through container lifecycle,Container Management,https://docs.docker.com/engine/containers/container-lifecycle/,https://youtube.com/results?search_query=docker+container+lifecycle+states,https://youtube.com/results?search_query=docker+container+lifecycle+states+hindi,https://youtube.com/results?search_query=docker+container+lifecycle+states+kannada,https://youtube.com/results?search_query=docker+container+lifecycle+states+tamil,https://youtube.com/results?search_query=docker+container+lifecycle+states+telugu
Docker,Intermediate,How do you use Docker with Redis cache?,Redis,Caching,Database,Key-value store,A,Run Redis container with persistence configuration and connect applications via network,Database,https://docs.docker.com/samples/library/redis/,https://youtube.com/results?search_query=docker+redis+container,https://youtube.com/results?search_query=docker+redis+container+hindi,https://youtube.com/results?search_query=docker+redis+container+kannada,https://youtube.com/results?search_query=docker+redis+container+tamil,https://youtube.com/results?search_query=docker+redis+container+telugu
