skill,level,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
HTML,BASIC,Multiple Choice,"What is the correct HTML for adding a background color?",<body bgcolor="yellow">,"<body style=""background-color:yellow;"">",<background>yellow</background>,"<body color=""yellow"">","<body style=""background-color:yellow;"">","Using the style attribute is the correct way to add a background color."
HTML,BASIC,Multiple Choice,"Which HTML element defines emphasized text?",<strong>,<em>,<i>,<b>,<em>,"The <em> tag defines emphasized text (typically displayed in italics)."
HTML,BASIC,Multiple Choice,"Which HTML element defines important text?",<strong>,<b>,<important>,<em>,<strong>,"The <strong> tag defines text with strong importance."
HTML,BASIC,Multiple Choice,"Which HTML element defines a navigation section?",<nav>,<navigation>,<menu>,<links>,<nav>,"The <nav> tag defines a set of navigation links."
HTML,BASIC,Multiple Choice,"Which HTML element defines a footer for a document?",<footer>,<bottom>,<foot>,<end>,<footer>,"The <footer> tag defines a footer for a document or section."
HTML,BASIC,Multiple Choice,"Which HTML element defines a header for a document?",<header>,<head>,<top>,<heading>,<header>,"The <header> tag defines a header for a document or section."
HTML,BASIC,Multiple Choice,"Which HTML element defines a section in a document?",<div>,<section>,<article>,<part>,<section>,"The <section> tag defines a section in a document."
HTML,BASIC,Multiple Choice,"Which HTML element defines an independent, self-contained content?",<article>,<section>,<div>,<independent>,<article>,"The <article> tag defines independent, self-contained content."
HTML,BASIC,Multiple Choice,"Which HTML element defines content aside from the main content?",<aside>,<sidebar>,<extra>,<additional>,<aside>,"The <aside> tag defines content aside from the main content."
HTML,BASIC,Multiple Choice,"Which HTML element defines a division or section?",<div>,<span>,<section>,<division>,<div>,"The <div> tag defines a division or section in an HTML document."
HTML,BASIC,Multiple Choice,"Which HTML element defines a span of text?",<span>,<div>,<text>,<inline>,<span>,"The <span> tag is an inline container for text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a list item?",<li>,<item>,<listitem>,<list>,<li>,"The <li> tag defines a list item."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a description list?",<dl>,<descriptionlist>,<list>,<dlist>,<dl>,"The <dl> tag defines a description list."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a term in a description list?",<dt>,<term>,<dd>,<definition>,<dt>,"The <dt> tag defines a term/name in a description list."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a description in a description list?",<dd>,<description>,<dt>,<def>,<dd>,"The <dd> tag describes a term in a description list."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a table header?",<th>,<thead>,<header>,<tableheader>,<th>,"The <th> tag defines a header cell in an HTML table."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a table?",<table>,<tab>,<tbl>,<grid>,<table>,"The <table> tag defines an HTML table."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a form?",<form>,<inputform>,<formelement>,<webform>,<form>,"The <form> tag defines an HTML form for user input."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an input field?",<input>,<textfield>,<field>,<type>,<input>,"The <input> tag specifies an input field."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a label for an input element?",<label>,<caption>,<title>,<name>,<label>,"The <label> tag defines a label for an <input> element."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a drop-down list?",<select>,<dropdown>,<list>,<options>,<select>,"The <select> tag defines a drop-down list."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an option in a drop-down list?",<option>,<item>,<choice>,<selectitem>,<option>,"The <option> tag defines an option in a drop-down list."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a text area?",<textarea>,<textbox>,<multiline>,<input type="text">,<textarea>,"The <textarea> tag defines a multi-line text input control."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a button?",<button>,<btn>,<click>,<input type="button">,<button>,"The <button> tag defines a clickable button."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a fieldset?",<fieldset>,<formgroup>,<group>,<set>,<fieldset>,"The <fieldset> tag groups related elements in a form."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a legend for a fieldset?",<legend>,<title>,<caption>,<label>,<legend>,"The <legend> tag defines a caption for a <fieldset> element."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an image map?",<map>,<imagemap>,<areamap>,<clickmap>,<map>,"The <map> tag defines an image map."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an area inside an image map?",<area>,<maparea>,<hotspot>,<clickarea>,<area>,"The <area> tag defines an area inside an image map."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a figure?",<figure>,<imagefigure>,<pic>,<imgfigure>,<figure>,"The <figure> tag specifies self-contained content."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a caption for a figure?",<figcaption>,<caption>,<figuretitle>,<title>,<figcaption>,"The <figcaption> tag defines a caption for a <figure> element."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define details?",<details>,<summary>,<info>,<data>,<details>,"The <details> tag defines additional details."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a summary for details?",<summary>,<title>,<heading>,<caption>,<summary>,"The <summary> tag defines a visible heading for a <details> element."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a time?",<time>,<datetime>,<date>,<clock>,<time>,"The <time> tag defines a specific time."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a mark?",<mark>,<highlight>,<strong>,<em>,<mark>,"The <mark> tag defines marked/highlighted text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a progress bar?",<progress>,<meter>,<bar>,<load>,<progress>,"The <progress> tag represents the progress of a task."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a meter?",<meter>,<gauge>,<measure>,<value>,<meter>,"The <meter> tag defines a scalar measurement within a known range."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define output?",<output>,<result>,<calculation>,<value>,<output>,"The <output> tag represents the result of a calculation."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a dialog box?",<dialog>,<popup>,<modal>,<window>,<dialog>,"The <dialog> tag defines a dialog box or window."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a template?",<template>,<pattern>,<model>,<blueprint>,<template>,"The <template> tag holds content that will not be displayed."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a slot?",<slot>,<placeholder>,<insert>,<content>,<slot>,"The <slot> tag defines a placeholder in a web component."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a canvas?",<canvas>,<draw>,<graphic>,<picture>,<canvas>,"The <canvas> tag is used to draw graphics via scripting."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define SVG graphics?",<svg>,<vector>,<graphic>,<draw>,<svg>,"The <svg> tag defines a container for SVG graphics."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define audio content?",<audio>,<sound>,<music>,<player>,<audio>,"The <audio> tag defines sound content."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define video content?",<video>,<movie>,<film>,<media>,<video>,"The <video> tag defines video content."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a source for media?",<source>,<src>,<media>,<file>,<source>,"The <source> tag defines multiple media resources."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a track for media?",<track>,<subtitle>,<caption>,<texttrack>,<track>,"The <track> tag defines text tracks for media elements."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an embed?",<embed>,<object>,<plugin>,<include>,<embed>,"The <embed> tag defines a container for an external application."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an object?",<object>,<embed>,<external>,<app>,<object>,"The <object> tag defines an embedded object."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a parameter for an object?",<param>,<parameter>,<value>,<setting>,<param>,"The <param> tag defines parameters for an object."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an iframe?",<iframe>,<frame>,<inlineframe>,<embedframe>,<iframe>,"The <iframe> tag defines an inline frame."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a picture?",<picture>,<imageset>,<responsive>,<imgset>,<picture>,"The <picture> tag defines a container for multiple image resources."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a ruby annotation?",<ruby>,<annotation>,<rt>,<rp>,<ruby>,"The <ruby> tag defines a ruby annotation."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define ruby text?",<rt>,<rubytext>,<annotation>,<text>,<rt>,"The <rt> tag defines an explanation of ruby text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define ruby parentheses?",<rp>,<rubyparen>,<parentheses>,<fallback>,<rp>,"The <rp> tag defines what to show in browsers that don't support ruby annotations."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define bidi isolation?",<bdi>,<bidirectional>,<direction>,<isolate>,<bdi>,"The <bdi> tag isolates a part of text that might be formatted differently."
HTML,BASIC,Multiple Choice,"Which HTML element is used to override text direction?",<bdo>,<direction>,<rtl>,<ltr>,<bdo>,"The <bdo> tag overrides the current text direction."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a data element?",<data>,<value>,<information>,<datum>,<data>,"The <data> tag links content with a machine-readable translation."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a variable?",<var>,<variable>,<math>,<code>,<var>,"The <var> tag defines a variable."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define sample output?",<samp>,<sample>,<output>,<code>,<samp>,"The <samp> tag defines sample output from a computer program."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define keyboard input?",<kbd>,<keyboard>,<input>,<key>,<kbd>,"The <kbd> tag defines keyboard input."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define code?",<code>,<programming>,<script>,<syntax>,<code>,"The <code> tag defines a piece of computer code."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define preformatted text?",<pre>,<preformatted>,<text>,<code>,<pre>,"The <pre> tag defines preformatted text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a quotation?",<q>,<quote>,<blockquote>,<citation>,<q>,"The <q> tag defines a short quotation."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a block quotation?",<blockquote>,<quote>,<q>,<citation>,<blockquote>,"The <blockquote> tag defines a section quoted from another source."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define an abbreviation?",<abbr>,<abbreviation>,<short>,<acronym>,<abbr>,"The <abbr> tag defines an abbreviation or acronym."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define contact information?",<address>,<contact>,<info>,<details>,<address>,"The <address> tag defines contact information for the author/owner."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a citation?",<cite>,<citation>,<reference>,<source>,<cite>,"The <cite> tag defines the title of a work."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a definition?",<dfn>,<definition>,<term>,<explain>,<dfn>,"The <dfn> tag represents the defining instance of a term."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define inserted text?",<ins>,<insert>,<added>,<new>,<ins>,"The <ins> tag defines text that has been inserted into a document."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define deleted text?",<del>,<delete>,<removed>,<strike>,<del>,"The <del> tag defines text that has been deleted from a document."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define struck-through text?",<s>,<strike>,<del>,<strikethrough>,<s>,"The <s> tag defines text that is no longer correct or relevant."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define underlined text?",<u>,<underline>,<ins>,<mark>,<u>,"The <u> tag defines text that should be stylistically different."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define small text?",<small>,<tiny>,<mini>,<little>,<small>,"The <small> tag defines smaller text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define subscript text?",<sub>,<subscript>,<low>,<below>,<sub>,"The <sub> tag defines subscript text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define superscript text?",<sup>,<superscript>,<high>,<above>,<sup>,"The <sup> tag defines superscript text."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a line break opportunity?",<wbr>,<break>,<br>,<linebreak>,<wbr>,"The <wbr> tag defines a possible line break."
HTML,BASIC,Multiple Choice,"Which HTML element is used to define a word break?",<wbr>,<wordbreak>,<break>,<split>,<wbr>,"The <wbr> tag represents a word break opportunity."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the character encoding?",charset,encoding,character,type,charset,"The charset attribute specifies the character encoding for the HTML document."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the title of an element?",title,name,caption,heading,title,"The title attribute provides additional information about an element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the language of the content?",lang,language,locale,country,lang,"The lang attribute specifies the language of the element's content."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the direction of text?",dir,direction,textdir,align,dir,"The dir attribute specifies the text direction."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines a unique id?",id,name,class,identifier,id,"The id attribute specifies a unique id for an element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines one or more class names?",class,className,type,group,class,"The class attribute specifies one or more class names for an element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines inline styles?",style,css,design,format,style,"The style attribute specifies inline CSS styles."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the tab order?",tabindex,taborder,order,sequence,tabindex,"The tabindex attribute specifies the tab order of an element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines content editable?",contenteditable,editable,edit,modify,contenteditable,"The contenteditable attribute specifies whether content is editable."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines hidden elements?",hidden,visible,show,display,hidden,"The hidden attribute specifies that an element is not yet relevant."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines draggable elements?",draggable,drag,movable,dragdrop,draggable,"The draggable attribute specifies whether an element is draggable."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines context menus?",contextmenu,menu,rightclick,popup,contextmenu,"The contextmenu attribute specifies a context menu for an element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines spell checking?",spellcheck,check,spelling,grammar,spellcheck,"The spellcheck attribute specifies whether to spell check."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the source of an image?",src,source,img,image,src,"The src attribute specifies the source of an image."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the width of an image?",width,w,size,length,width,"The width attribute specifies the width of an image."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the height of an image?",height,h,size,depth,height,"The height attribute specifies the height of an image."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the href of a link?",href,link,url,address,href,"The href attribute specifies the URL of a link."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the target of a link?",target,destination,window,open,target,"The target attribute specifies where to open the linked document."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the relationship between documents?",rel,relationship,type,linktype,rel,"The rel attribute specifies the relationship between documents."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the type of input?",type,kind,inputtype,format,type,"The type attribute specifies the type of input element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the value of input?",value,data,content,text,value,"The value attribute specifies the value of an input element."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the placeholder text?",placeholder,hint,text,example,placeholder,"The placeholder attribute specifies a short hint."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines required input?",required,mandatory,necessary,essential,required,"The required attribute specifies that an input field must be filled out."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines read-only input?",readonly,readonlyonly,locked,fixed,readonly,"The readonly attribute specifies that input is read-only."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines disabled input?",disabled,enabled,active,inactive,disabled,"The disabled attribute specifies that input is disabled."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the size of input?",size,length,width,dimension,size,"The size attribute specifies the visible width of an input."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the max length of input?",maxlength,maximum,limit,chars,maxlength,"The maxlength attribute specifies the maximum number of characters."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the minimum value?",min,minimum,least,smallest,min,"The min attribute specifies the minimum value."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the maximum value?",max,maximum,most,largest,max,"The max attribute specifies the maximum value."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the step value?",step,increment,interval,change,step,"The step attribute specifies the legal number intervals."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the pattern for input?",pattern,regex,format,rule,pattern,"The pattern attribute specifies a regular expression to validate input."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines autocomplete?",autocomplete,complete,auto,suggest,autocomplete,"The autocomplete attribute specifies whether autocomplete is on."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines autofocus?",autofocus,focus,auto,center,autofocus,"The autofocus attribute specifies that an element should get focus."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the form action?",action,submit,process,handle,action,"The action attribute specifies where to send form data."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the form method?",method,type,way,process,method,"The method attribute specifies how to send form data."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines form encoding?",enctype,encoding,type,format,enctype,"The enctype attribute specifies how form data should be encoded."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines form validation?",novalidate,validate,check,verify,novalidate,"The novalidate attribute specifies that form should not be validated."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the colspan?",colspan,columnspan,span,merge,colspan,"The colspan attribute defines how many columns a cell should span."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the rowspan?",rowspan,rowspan,span,merge,rowspan,"The rowspan attribute defines how many rows a cell should span."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the scope of a header?",scope,range,area,extent,scope,"The scope attribute defines whether a header cell is for a column, row, or group."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the headers for a cell?",headers,head,cells,references,headers,"The headers attribute specifies one or more header cells a cell is related to."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the label for an option?",label,name,text,title,label,"The label attribute specifies a shorter label for an option."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines selected options?",selected,chosen,picked,active,selected,"The selected attribute specifies that an option should be pre-selected."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines multiple selections?",multiple,many,several,multi,multiple,"The multiple attribute specifies that multiple options can be selected."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the size of a select?",size,length,items,options,size,"The size attribute specifies the number of visible options in a drop-down list."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the rows in a textarea?",rows,lines,height,textrows,rows,"The rows attribute specifies the visible number of lines in a textarea."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the cols in a textarea?",cols,columns,width,textcols,cols,"The cols attribute specifies the visible width of a textarea."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the wrap in a textarea?",wrap,linewrap,break,textwrap,wrap,"The wrap attribute specifies how text in a textarea is wrapped."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the for in a label?",for,label,link,connect,for,"The for attribute specifies which form element a label is bound to."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the form in a label?",form,formid,formname,formlink,form,"The form attribute specifies one or more forms the label belongs to."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the media type?",media,type,format,device,media,"The media attribute specifies what media/device the linked document is optimized for."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the async script?",async,defer,load,execute,async,"The async attribute specifies that the script is executed asynchronously."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the defer script?",defer,async,delay,wait,defer,"The defer attribute specifies that the script is executed when the page has finished parsing."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the crossorigin?",crossorigin,cross,origin,domain,crossorigin,"The crossorigin attribute sets the mode of the request."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the integrity?",integrity,hash,security,check,integrity,"The integrity attribute allows a browser to check the fetched script."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the referrerpolicy?",referrerpolicy,referrer,policy,security,referrerpolicy,"The referrerpolicy attribute specifies which referrer information to send."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the sandbox in iframe?",sandbox,security,restrict,limit,sandbox,"The sandbox attribute enables an extra set of restrictions for iframe content."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the srcdoc in iframe?",srcdoc,src,doc,content,srcdoc,"The srcdoc attribute specifies the HTML content of the page to show in the iframe."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the loading in img?",loading,load,eager,lazy,loading,"The loading attribute specifies whether a browser should load an image immediately or defer loading."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the decoding in img?",decoding,decode,process,render,decoding,"The decoding attribute specifies how the browser should decode the image."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the fetchpriority in img?",fetchpriority,priority,loadpriority,importance,fetchpriority,"The fetchpriority attribute specifies the relative priority for fetching the image."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the sizes in img?",sizes,size,dimensions,measurements,sizes,"The sizes attribute specifies image sizes for different page layouts."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the srcset in img?",srcset,src,sources,images,srcset,"The srcset attribute specifies the URL of the image to use in different situations."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the poster in video?",poster,image,preview,thumbnail,poster,"The poster attribute specifies an image to be shown while the video is downloading."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the preload in video?",preload,load,before,prepare,preload,"The preload attribute specifies if and how the video should be loaded."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the controls in video?",controls,control,player,buttons,controls,"The controls attribute specifies that video controls should be displayed."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the loop in video?",loop,repeat,cycle,again,loop,"The loop attribute specifies that the video will start over again when finished."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the muted in video?",muted,silent,quiet,nosound,muted,"The muted attribute specifies that the audio output should be muted."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the playsinline in video?",playsinline,inline,play,autoplay,playsinline,"The playsinline attribute specifies that the video should play inline."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the crossorigin in media?",crossorigin,cross,origin,domain,crossorigin,"The crossorigin attribute sets the mode of the CORS request."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the kind in track?",kind,type,format,category,kind,"The kind attribute specifies the kind of text track."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the srclang in track?",srclang,language,lang,locale,srclang,"The srclang attribute specifies the language of the track text data."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the label in track?",label,name,title,caption,label,"The label attribute specifies the title of the text track."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the default in track?",default,selected,active,on,default,"The default attribute specifies that the track is to be enabled."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the data in object?",data,src,source,file,data,"The data attribute specifies the URL of the resource to be used by the object."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the type in object?",type,format,kind,category,type,"The type attribute specifies the media type of data specified in the data attribute."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the name in param?",name,param,value,setting,name,"The name attribute specifies the name of a parameter."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the value in param?",value,data,content,setting,value,"The value attribute specifies the value of the parameter."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the usemap in img?",usemap,map,imagemap,areamap,usemap,"The usemap attribute specifies an image as a client-side image map."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the ismap in img?",ismap,map,servermap,imagemap,ismap,"The ismap attribute specifies an image as a server-side image map."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the shape in area?",shape,form,type,outline,shape,"The shape attribute specifies the shape of an area."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the coords in area?",coords,coordinates,points,location,coords,"The coords attribute specifies the coordinates of an area."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the download in a?",download,save,get,store,download,"The download attribute specifies that the target will be downloaded."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the ping in a?",ping,track,notify,alert,ping,"The ping attribute specifies a list of URLs to be notified if the user follows the hyperlink."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the rel in a?",rel,relationship,type,linktype,rel,"The rel attribute specifies the relationship between the current and linked document."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the hreflang in a?",hreflang,language,lang,locale,hreflang,"The hreflang attribute specifies the language of the linked document."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the type in a?",type,format,kind,category,type,"The type attribute specifies the media type of the linked document."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the cite in blockquote?",cite,source,reference,link,cite,"The cite attribute specifies the source of a quotation."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the datetime in time?",datetime,date,time,timestamp,datetime,"The datetime attribute specifies the date and time."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the open in details?",open,opened,visible,show,open,"The open attribute specifies that the details should be visible to the user."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the reversed in ol?",reversed,reverse,backward,descending,reversed,"The reversed attribute specifies that the list order should be descending."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the start in ol?",start,begin,first,initial,start,"The start attribute specifies the start value of an ordered list."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the type in ol?",type,kind,style,format,type,"The type attribute specifies the kind of marker to use in the list."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the value in li?",value,number,index,position,value,"The value attribute specifies the value of a list item."
HTML,BASIC,Multiple Choice,"Which HTML attribute defines the colspan in td?",colspan,columnspan,span,merge,colspan,"The colspan attribute defines the number of columns a cell should span."
